"X","Year","Age_Group","Race_Ethnicity","First_Degree_History","Age_Menarche","Age_First_Birth","Breast_Density","Hormone_Replacement_Therapy","Menopause_Status","BMI_Group","Biopsy_History","Breast_Cancer_History","Count"
2657,2014,"55-59","Non-Hispanic White","No","12-13","Nulliparous","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","No","No",8
2173,2017,"45-49","Hispanic","Yes",">14","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","25-29.99","No","No",1
1430,2017,"60-64","Hispanic","Yes","<12",">30","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",1
2628,2015,"50-54","Non-Hispanic Black","Yes","<12","25-29","Almost entirely fat","No","Pre- or Peri-menopausal","35+","No","No",1
2591,2015,"50-54","Hispanic","Yes","12-13","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","30-34.99","Yes","No",1
1375,2016,"70-74","Non-Hispanic White","No","12-13","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","Yes",5
4604,2016,"55-59","Non-Hispanic White","No","12-13","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","No","Yes",5
310,2017,"40-44","Non-Hispanic White","No","<12","<20","Heterogeneously dense","No","Surgical Menopause","30-34.99","No","No",3
4003,2017,"55-59","Hispanic","No",">14","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",1
581,2017,"45-49","Asian/Pacific Islander","No","12-13","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","25-29.99","No","No",21
2245,2016,"45-49","Hispanic","No","12-13","Nulliparous","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",2
2803,2016,"50-54","Hispanic","No","12-13","20-24","Extremely dense","No","Surgical Menopause","25-29.99","No","No",2
448,2017,"45-49","Non-Hispanic Black","No",">14","<20","Heterogeneously dense","No","Post-menopausal","35+","No","No",1
106,2014,"60-64","Non-Hispanic White","No",">14","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","No","Yes",1
2868,2015,"50-54","Other/Mixed","No","12-13","<20","Almost entirely fat","No","Surgical Menopause","30-34.99","No","No",1
2658,2015,"45-49","Asian/Pacific Islander","No",">14","20-24","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","Yes","No",1
1579,2016,"70-74","Non-Hispanic White","No","<12","Nulliparous","Extremely dense","No","Post-menopausal","35+","Yes","Yes",1
3868,2017,"60-64","Hispanic","No","12-13","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",8
1039,2013,"75-79","Other/Mixed","Yes",">14","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",1
2813,2014,"40-44","Native American","No","12-13","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","35+","No","No",1
4631,2016,"45-49","Hispanic","No","12-13","<20","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","Yes","Yes",1
812,2016,"75-79","Non-Hispanic White","Yes",">14","20-24","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","No","No",11
2074,2013,"60-64","Non-Hispanic Black","Yes",">14","<20","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",12
4830,2017,"60-64","Non-Hispanic Black","No","12-13","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","No",7
3572,2017,"70-74","Non-Hispanic White","No","<12","<20","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","No",3
623,2017,"80-84","Non-Hispanic White","Yes","12-13","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",1
478,2016,"45-49","Non-Hispanic White","No",">14",">30","Heterogeneously dense","No","Surgical Menopause","10-24.99","No","No",9
2323,2015,"80-84","Non-Hispanic White","Yes","12-13","20-24","Extremely dense","No","Post-menopausal","25-29.99","Yes","Yes",1
3311,2016,"55-59","Non-Hispanic White","No","12-13","25-29","Heterogeneously dense","No","Surgical Menopause","25-29.99","Yes","Yes",1
3452,2015,"60-64","Hispanic","No","12-13","<20","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","Yes",2
3516,2017,"65-69","Non-Hispanic White","Yes","12-13","<20","Heterogeneously dense","No","Post-menopausal","35+","Yes","Yes",2
429,2014,"75-79","Non-Hispanic White","No","12-13","20-24","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","No",14
277,2015,"60-64","Non-Hispanic Black","No","12-13","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",16
2742,2017,"50-54","Non-Hispanic Black","No",">14","25-29","Almost entirely fat","No","Post-menopausal","30-34.99","No","No",3
4519,2014,"45-49","Non-Hispanic White","Yes",">14","Nulliparous","Heterogeneously dense","No","Surgical Menopause","25-29.99","Yes","Yes",1
4463,2013,"80-84","Non-Hispanic White","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",11
973,2015,"50-54","Non-Hispanic Black","Yes","<12","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","Yes",1
4004,2015,"75-79","Non-Hispanic White","No","12-13","<20","Scattered fibroglandular densities","Yes","Post-menopausal","25-29.99","No","No",1
115,2016,"60-64","Non-Hispanic White","No","12-13","<20","Almost entirely fat","No","Post-menopausal","35+","Yes","Yes",1
4345,2014,"50-54","Non-Hispanic White","Yes","12-13",">30","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","No",3
2861,2017,"50-54","Non-Hispanic White","Yes","12-13","<20","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",1
2478,2015,"40-44","Non-Hispanic White","No","12-13","25-29","Heterogeneously dense","Yes","Post-menopausal","10-24.99","Yes","No",1
4176,2017,"65-69","Non-Hispanic Black","No","12-13","20-24","Almost entirely fat","No","Post-menopausal","35+","No","No",21
1746,2013,"55-59","Non-Hispanic Black","No","<12","Nulliparous","Almost entirely fat","No","Post-menopausal","35+","No","No",4
4334,2015,"35-39","Hispanic","No",">14","25-29","Heterogeneously dense","No","Surgical Menopause","10-24.99","No","No",1
140,2013,"65-69","Asian/Pacific Islander","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","No",1
549,2016,"55-59","Non-Hispanic Black","No","12-13","25-29","Scattered fibroglandular densities","No","Surgical Menopause","30-34.99","Yes","No",2
2587,2016,"55-59","Asian/Pacific Islander","No","12-13",">30","Heterogeneously dense","No","Surgical Menopause","30-34.99","No","No",2
4154,2015,"80-84","Hispanic","Yes","12-13","<20","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",1
1544,2014,"45-49","Non-Hispanic White","No","12-13","<20","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","Yes",1
2554,2013,"55-59","Hispanic","Yes","12-13","<20","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",1
1757,2017,"55-59","Non-Hispanic White","No",">14","20-24","Heterogeneously dense","No","Surgical Menopause","30-34.99","No","No",2
3563,2017,"65-69","Other/Mixed","No","<12","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","Yes",1
1675,2013,"55-59","Non-Hispanic Black","No","<12","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",12
2412,2016,"60-64","Non-Hispanic White","Yes","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",17
4892,2014,"60-64","Hispanic","Yes",">14","<20","Heterogeneously dense","No","Post-menopausal","35+","No","No",1
1404,2017,"50-54","Non-Hispanic Black","No","12-13","25-29","Heterogeneously dense","No","Surgical Menopause","25-29.99","No","No",3
796,2013,"70-74","Non-Hispanic White","No","<12",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",16
1516,2016,"45-49","Hispanic","No","<12","<20","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","Yes","No",2
3017,2013,"80-84","Non-Hispanic White","Yes","12-13","20-24","Extremely dense","No","Post-menopausal","25-29.99","Yes","No",2
3298,2016,"55-59","Non-Hispanic White","No","<12","20-24","Heterogeneously dense","No","Surgical Menopause","30-34.99","No","No",4
2591,2015,"50-54","Hispanic","Yes","12-13","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","30-34.99","Yes","No",1
4811,2014,"35-39","Asian/Pacific Islander","Yes","12-13","Nulliparous","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","No","No",1
2399,2015,"40-44","Hispanic","No","<12","20-24","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","No","No",3
1424,2014,"50-54","Asian/Pacific Islander","No",">14","Nulliparous","Scattered fibroglandular densities","Yes","Post-menopausal","30-34.99","No","No",1
4631,2016,"45-49","Hispanic","No","12-13","<20","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","Yes","Yes",1
4631,2016,"45-49","Hispanic","No","12-13","<20","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","Yes","Yes",1
4720,2015,"50-54","Non-Hispanic Black","No",">14","20-24","Heterogeneously dense","No","Surgical Menopause","35+","Yes","No",1
3125,2016,"55-59","Non-Hispanic White","No","12-13",">30","Almost entirely fat","No","Surgical Menopause","35+","No","No",4
1814,2016,"45-49","Non-Hispanic Black","No","12-13","20-24","Almost entirely fat","No","Post-menopausal","35+","No","No",1
3282,2016,"70-74","Non-Hispanic Black","Yes",">14","20-24","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",4
2808,2014,"30-34","Non-Hispanic White","No",">14","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","35+","No","No",1
1039,2013,"75-79","Other/Mixed","Yes",">14","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",1
4209,2015,"45-49","Non-Hispanic Black","No","12-13","20-24","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","No","No",20
1131,2016,"55-59","Non-Hispanic Black","No","12-13","<20","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","No","No",1
1468,2015,">85","Non-Hispanic White","No","12-13","25-29","Scattered fibroglandular densities","Yes","Post-menopausal","30-34.99","No","No",1
3649,2015,"45-49","Non-Hispanic Black","No","12-13","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","No","Yes",1
2009,2016,"18-29","Non-Hispanic White","Yes",">14","Nulliparous","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","No","No",2
4862,2016,"50-54","Non-Hispanic Black","No","12-13","<20","Heterogeneously dense","No","Post-menopausal","35+","Yes","No",1
2223,2016,"65-69","Non-Hispanic White","No","<12",">30","Almost entirely fat","Yes","Post-menopausal","35+","Yes","Yes",1
3275,2017,"50-54","Non-Hispanic White","No","12-13","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","No","No",33
1270,2015,"18-29","Native American","Yes","12-13","Nulliparous","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","No","No",1
4560,2016,"55-59","Non-Hispanic Black","No","<12","<20","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",4
2614,2015,"55-59","Non-Hispanic White","Yes","12-13","<20","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",6
362,2017,"75-79","Asian/Pacific Islander","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","No",1
4565,2014,"60-64","Non-Hispanic White","Yes","12-13","Nulliparous","Scattered fibroglandular densities","Yes","Post-menopausal","35+","No","No",1
4319,2016,"50-54","Non-Hispanic White","No",">14","20-24","Heterogeneously dense","No","Surgical Menopause","30-34.99","No","No",7
152,2013,"55-59","Non-Hispanic White","Yes",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",2
1720,2016,"75-79","Non-Hispanic White","No","12-13","<20","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",45
1063,2017,"35-39","Non-Hispanic White","Yes","12-13","Nulliparous","Almost entirely fat","No","Pre- or Peri-menopausal","35+","No","No",2
844,2017,"70-74","Non-Hispanic Black","No","12-13","<20","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","No","Yes",1
4738,2014,"40-44","Native American","No","12-13","<20","Heterogeneously dense","No","Pre- or Peri-menopausal","25-29.99","No","No",3
2506,2017,"70-74","Non-Hispanic Black","No",">14","25-29","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","No",1
95,2014,"40-44","Asian/Pacific Islander","No","<12",">30","Heterogeneously dense","No","Surgical Menopause","30-34.99","No","No",1
2735,2017,"70-74","Non-Hispanic White","Yes","<12","Nulliparous","Extremely dense","No","Post-menopausal","10-24.99","Yes","No",1
3933,2015,"65-69","Non-Hispanic White","No","<12","Nulliparous","Extremely dense","No","Post-menopausal","25-29.99","Yes","No",1
2813,2014,"40-44","Native American","No","12-13","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","35+","No","No",1
2279,2013,"75-79","Non-Hispanic White","Yes","12-13","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","No","Yes",2
3129,2015,"80-84","Non-Hispanic White","Yes",">14","25-29","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","No",2
1567,2017,"65-69","Other/Mixed","No","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",1
2220,2016,"45-49","Non-Hispanic White","No","12-13",">30","Scattered fibroglandular densities","No","Surgical Menopause","25-29.99","No","Yes",1
1893,2016,"75-79","Other/Mixed","Yes","12-13","<20","Heterogeneously dense","No","Post-menopausal","25-29.99","No","Yes",1
3055,2016,"50-54","Non-Hispanic White","No",">14","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","No","No",109
341,2014,"75-79","Non-Hispanic White","No","12-13","Nulliparous","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","Yes",8
4632,2015,"50-54","Non-Hispanic White","Yes","<12","<20","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",1
1140,2013,"80-84","Non-Hispanic White","Yes",">14","<20","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","No",1
46,2015,"60-64","Asian/Pacific Islander","No","12-13","Nulliparous","Heterogeneously dense","Yes","Post-menopausal","10-24.99","Yes","No",2
2165,2013,"55-59","Other/Mixed","No","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",1
1839,2014,"55-59","Non-Hispanic Black","Yes","12-13","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",1
3504,2013,"65-69","Non-Hispanic White","No",">14",">30","Almost entirely fat","No","Post-menopausal","35+","No","No",1
2404,2015,">85","Non-Hispanic Black","No",">14","<20","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","No",1
821,2016,"40-44","Native American","No",">14","Nulliparous","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","No","No",1
1729,2016,"35-39","Non-Hispanic White","Yes","<12","Nulliparous","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","No","No",3
2386,2016,"65-69","Non-Hispanic White","No",">14",">30","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",25
1986,2015,"50-54","Hispanic","No",">14","20-24","Scattered fibroglandular densities","No","Surgical Menopause","10-24.99","No","No",2
2068,2015,"55-59","Non-Hispanic White","Yes","<12","Nulliparous","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",1
4565,2014,"60-64","Non-Hispanic White","Yes","12-13","Nulliparous","Scattered fibroglandular densities","Yes","Post-menopausal","35+","No","No",1
372,2016,"55-59","Hispanic","No",">14","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",1
2531,2016,"45-49","Non-Hispanic Black","No","<12","<20","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","Yes","No",1
1570,2016,"50-54","Non-Hispanic White","No","12-13",">30","Scattered fibroglandular densities","No","Surgical Menopause","35+","No","No",19
677,2013,"60-64","Non-Hispanic Black","Yes","<12","Nulliparous","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",3
109,2016,"55-59","Non-Hispanic Black","Yes","12-13","<20","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",8
1062,2017,"45-49","Hispanic","Yes","12-13","25-29","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","Yes","No",1
1215,2017,"45-49","Non-Hispanic Black","No",">14","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","No","No",5
4334,2015,"35-39","Hispanic","No",">14","25-29","Heterogeneously dense","No","Surgical Menopause","10-24.99","No","No",1
2976,2014,"55-59","Non-Hispanic White","No","<12","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",12
41,2013,"65-69","Non-Hispanic White","No","<12",">30","Almost entirely fat","No","Post-menopausal","10-24.99","Yes","No",1
818,2014,"55-59","Asian/Pacific Islander","Yes","12-13",">30","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",1
1116,2017,"45-49","Non-Hispanic Black","No",">14","<20","Heterogeneously dense","No","Surgical Menopause","25-29.99","Yes","No",4
211,2015,"75-79","Non-Hispanic White","No","<12","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","No",7
2565,2016,">85","Non-Hispanic Black","No","12-13","25-29","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",2
4377,2013,"65-69","Hispanic","No","<12","20-24","Almost entirely fat","No","Post-menopausal","25-29.99","No","No",2
454,2013,"55-59","Hispanic","No","<12","<20","Scattered fibroglandular densities","No","Surgical Menopause","25-29.99","No","No",3
4959,2014,"55-59","Hispanic","Yes","<12","25-29","Scattered fibroglandular densities","No","Surgical Menopause","10-24.99","No","No",1
2619,2017,"75-79","Non-Hispanic Black","Yes","12-13","<20","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","Yes",1
4311,2013,"60-64","Hispanic","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","No",2
4179,2017,"50-54","Non-Hispanic White","No","<12","<20","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",3
1340,2017,"75-79","Asian/Pacific Islander","No",">14","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",3
3824,2015,"70-74","Non-Hispanic White","No","12-13","<20","Extremely dense","No","Post-menopausal","30-34.99","No","No",1
1370,2017,"70-74","Asian/Pacific Islander","No","12-13","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",3
2245,2016,"45-49","Hispanic","No","12-13","Nulliparous","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",2
4161,2014,"40-44","Hispanic","No","12-13",">30","Almost entirely fat","No","Pre- or Peri-menopausal","30-34.99","No","No",4
4578,2014,"60-64","Asian/Pacific Islander","Yes",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","No",1
3209,2015,"65-69","Non-Hispanic Black","No","<12","<20","Almost entirely fat","No","Post-menopausal","35+","No","No",12
1509,2015,"50-54","Non-Hispanic White","No","<12","<20","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","No","No",1
4778,2015,"35-39","Hispanic","Yes","12-13","<20","Almost entirely fat","No","Pre- or Peri-menopausal","35+","No","No",1
614,2015,"45-49","Non-Hispanic Black","No","12-13","25-29","Almost entirely fat","No","Surgical Menopause","30-34.99","No","No",2
2035,2015,"50-54","Non-Hispanic White","Yes","<12",">30","Extremely dense","No","Post-menopausal","10-24.99","Yes","No",2
136,2016,"55-59","Hispanic","Yes","12-13","20-24","Scattered fibroglandular densities","No","Surgical Menopause","25-29.99","No","No",3
2724,2016,"70-74","Non-Hispanic Black","No",">14","Nulliparous","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",2
452,2015,"75-79","Non-Hispanic Black","Yes",">14","20-24","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","No",2
4974,2017,">85","Non-Hispanic Black","No","<12","<20","Almost entirely fat","No","Post-menopausal","10-24.99","No","No",1
602,2016,"45-49","Asian/Pacific Islander","No","12-13",">30","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","30-34.99","No","No",5
2647,2015,"55-59","Non-Hispanic White","No","12-13",">30","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",185
3454,2014,"40-44","Hispanic","No","12-13",">30","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","No","No",37
3824,2015,"70-74","Non-Hispanic White","No","12-13","<20","Extremely dense","No","Post-menopausal","30-34.99","No","No",1
3662,2014,"60-64","Hispanic","No","<12",">30","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","No",1
583,2014,"35-39","Non-Hispanic White","No","12-13",">30","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","No","No",15
2245,2016,"45-49","Hispanic","No","12-13","Nulliparous","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",2
886,2014,"65-69","Asian/Pacific Islander","No","<12","25-29","Almost entirely fat","Yes","Post-menopausal","35+","No","No",1
942,2017,"70-74","Non-Hispanic Black","Yes","12-13","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",1
4174,2016,"40-44","Non-Hispanic White","No","12-13",">30","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","Yes","Yes",1
2691,2016,"80-84","Non-Hispanic White","No",">14","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","Yes",1
3093,2016,"50-54","Other/Mixed","No","12-13","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","30-34.99","No","No",1
2002,2014,"65-69","Non-Hispanic White","No",">14","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",33
821,2016,"40-44","Native American","No",">14","Nulliparous","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","No","No",1
2416,2015,"60-64","Hispanic","Yes","<12","<20","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",2
2023,2015,"65-69","Non-Hispanic Black","No","<12","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","No","No",13
1109,2013,"75-79","Non-Hispanic White","No",">14","Nulliparous","Heterogeneously dense","No","Post-menopausal","25-29.99","No","Yes",1
4716,2015,"55-59","Non-Hispanic White","No",">14","25-29","Heterogeneously dense","No","Surgical Menopause","30-34.99","No","No",3
3637,2016,"50-54","Non-Hispanic Black","Yes","12-13","<20","Scattered fibroglandular densities","No","Surgical Menopause","35+","No","No",3
3577,2016,"55-59","Non-Hispanic White","No","12-13","25-29","Almost entirely fat","No","Pre- or Peri-menopausal","35+","No","No",2
2528,2017,"55-59","Non-Hispanic White","Yes",">14","Nulliparous","Extremely dense","No","Post-menopausal","25-29.99","Yes","No",1
478,2016,"45-49","Non-Hispanic White","No",">14",">30","Heterogeneously dense","No","Surgical Menopause","10-24.99","No","No",9
4720,2015,"50-54","Non-Hispanic Black","No",">14","20-24","Heterogeneously dense","No","Surgical Menopause","35+","Yes","No",1
4656,2016,"40-44","Non-Hispanic White","No","12-13","25-29","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","Yes","No",3
2181,2017,"35-39","Non-Hispanic White","No",">14","20-24","Extremely dense","No","Pre- or Peri-menopausal","30-34.99","No","No",1
2955,2014,"65-69","Non-Hispanic White","Yes",">14","25-29","Almost entirely fat","No","Post-menopausal","30-34.99","No","No",2
2022,2013,"70-74","Non-Hispanic White","No",">14","<20","Almost entirely fat","No","Post-menopausal","30-34.99","No","Yes",2
474,2017,"80-84","Non-Hispanic White","Yes",">14","<20","Almost entirely fat","No","Post-menopausal","25-29.99","Yes","No",1
581,2017,"45-49","Asian/Pacific Islander","No","12-13","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","25-29.99","No","No",21
3962,2016,"60-64","Non-Hispanic White","No",">14","Nulliparous","Scattered fibroglandular densities","Yes","Post-menopausal","10-24.99","No","No",4
1056,2015,"40-44","Non-Hispanic White","No","12-13","25-29","Almost entirely fat","No","Pre- or Peri-menopausal","25-29.99","No","No",7
4150,2013,"75-79","Non-Hispanic White","No","12-13",">30","Almost entirely fat","No","Post-menopausal","30-34.99","No","Yes",1
1914,2014,"75-79","Non-Hispanic White","No",">14","<20","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","No",2
1965,2015,"35-39","Hispanic","No","12-13","20-24","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","No","No",4
1715,2016,"80-84","Hispanic","No",">14","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",1
4810,2014,"55-59","Non-Hispanic White","Yes","12-13","20-24","Scattered fibroglandular densities","No","Surgical Menopause","25-29.99","Yes","Yes",1
375,2014,"55-59","Other/Mixed","No","<12",">30","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",4
3169,2017,"80-84","Hispanic","No",">14","<20","Almost entirely fat","No","Post-menopausal","35+","No","No",1
2767,2015,"50-54","Non-Hispanic Black","No","12-13","<20","Scattered fibroglandular densities","Yes","Post-menopausal","10-24.99","No","No",1
3169,2017,"80-84","Hispanic","No",">14","<20","Almost entirely fat","No","Post-menopausal","35+","No","No",1
3161,2016,"45-49","Non-Hispanic Black","Yes","12-13","20-24","Heterogeneously dense","No","Surgical Menopause","30-34.99","Yes","No",1
4990,2016,"55-59","Non-Hispanic White","No","12-13","<20","Almost entirely fat","No","Post-menopausal","10-24.99","No","Yes",1
4030,2016,"45-49","Hispanic","No","<12","<20","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",5
4892,2014,"60-64","Hispanic","Yes",">14","<20","Heterogeneously dense","No","Post-menopausal","35+","No","No",1
1849,2016,"45-49","Other/Mixed","No","<12","Nulliparous","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","Yes","No",1
380,2015,"45-49","Non-Hispanic White","Yes","12-13","20-24","Heterogeneously dense","No","Pre- or Peri-menopausal","35+","No","No",5
1738,2016,"40-44","Non-Hispanic Black","No","12-13","<20","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","No","No",29
3209,2015,"65-69","Non-Hispanic Black","No","<12","<20","Almost entirely fat","No","Post-menopausal","35+","No","No",12
5000,2016,"50-54","Non-Hispanic Black","Yes","<12","20-24","Heterogeneously dense","No","Post-menopausal","35+","No","No",1
3323,2017,"55-59","Non-Hispanic Black","No",">14","<20","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",4
3765,2014,"80-84","Non-Hispanic White","Yes","12-13","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",3
303,2016,"55-59","Hispanic","Yes","12-13","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","No","No",1
583,2014,"35-39","Non-Hispanic White","No","12-13",">30","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","No","No",15
1738,2016,"40-44","Non-Hispanic Black","No","12-13","<20","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","No","No",29
4974,2017,">85","Non-Hispanic Black","No","<12","<20","Almost entirely fat","No","Post-menopausal","10-24.99","No","No",1
1695,2016,"45-49","Non-Hispanic White","No",">14",">30","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","Yes","Yes",2
2627,2014,"75-79","Non-Hispanic White","Yes",">14","20-24","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","No",1
722,2017,"40-44","Asian/Pacific Islander","No",">14",">30","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",5
2054,2016,"50-54","Hispanic","No","12-13","<20","Heterogeneously dense","No","Post-menopausal","35+","Yes","Yes",1
3421,2013,"65-69","Non-Hispanic White","No","12-13","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",42
